          FECHA            NRO     IP     PREDICCION
2020-07-24 11:27:36.980491, 1, 127.0.0.1, [3]
2020-07-24 11:27:40.895045, 2, 127.0.0.1, [2]
2020-07-24 11:27:43.609531, 3, 127.0.0.1, [0]
2020-07-24 11:28:45.912068, 4, 127.0.0.1, [9]
2020-07-24 11:28:49.184348, 5, 127.0.0.1, [0]
2020-07-24 11:29:35.144544, 6, 127.0.0.1, [0]
2020-07-24 11:29:40.796768, 7, 127.0.0.1, [9]
2020-07-25 16:17:36.405194, 1, 127.0.0.1, [0]
2020-07-25 16:17:43.738761, 2, 127.0.0.1, [2]
2020-07-25 16:32:59.807348, 3, 127.0.0.1, [2]
2020-07-25 16:39:37.139377, 4, 127.0.0.1, [2]
2020-07-25 16:40:07.426141, 5, 127.0.0.1, [2]
2020-07-25 16:45:16.090308, 6, 127.0.0.1, [2]
2020-07-25 16:47:55.860937, 1, 127.0.0.1, [2]
2020-07-25 16:48:04.042079, 2, 127.0.0.1, [0]
2020-07-25 16:48:38.321851, 3, 127.0.0.1, [0]
2020-07-25 16:48:41.559462, 4, 127.0.0.1, [2]
2020-07-25 16:48:45.510289, 5, 127.0.0.1, [7]
2020-07-25 17:39:30.405465, 1, 127.0.0.1, [7]
2020-07-25 17:39:35.605184, 2, 127.0.0.1, [7]
2020-07-25 17:42:42.172136, 3, 127.0.0.1, [9]
2020-07-25 17:43:48.194157, 4, 127.0.0.1, [9]
2020-07-25 17:44:10.644762, 5, 127.0.0.1, [9]
2020-07-25 17:44:14.067102, 6, 127.0.0.1, [7]
2020-07-25 17:44:17.593400, 7, 127.0.0.1, [2]
2020-07-25 17:44:21.027435, 8, 127.0.0.1, [0]
2020-07-25 17:51:10.115568, 1, 127.0.0.1, [0]
2020-07-25 17:54:39.701541, 1, 127.0.0.1, [9]
2020-07-25 17:58:06.551949, 2, 127.0.0.1, [9]
2020-07-25 18:34:14.744989, 1, 127.0.0.1, [7]
2020-07-25 18:35:09.250203, 1, 127.0.0.1, [7]
2020-07-25 19:36:56.006799, 1, 127.0.0.1, [7]
2020-07-25 19:38:33.586751, 1, 127.0.0.1, [7]
2020-07-25 19:43:56.560363, 2, 127.0.0.1, [7]
2020-07-25 19:44:36.364716, 3, 127.0.0.1, [0]
